"FIPS","AllRace_Total","AllRace_Male","AllRace_Female","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_Male","W_Female","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_Male","B_Female","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_Male","I_Female","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_Male","A_Female","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_Male","H_Female","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_Male","O_Female","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female_50-","O_Female_50-65","O_Female_65+","AllRace_50-","AllRace_50-65","AllRace_65+","W_50-","W_50-65","W_65+","B_50-","B_50-65","B_65+","A_50-","A_50-65","A_65+","I_50-","I_50-65","I_65+","H_50-","H_50-65","H_65+","O_50-","O_50-65","O_65+","state"
"08001",519572,262217,257355,193055,42926,26236,182691,43077,31587,239295,120578,118717,78162,24609,17807,72775,24560,21382,16054,8749,7305,6453,1597,699,5498,1190,617,2869,1307,1562,933,268,106,1017,318,227,22583,10917,11666,8238,1710,969,8507,1924,1235,216649,109747,106902,90421,13295,6031,86015,13521,7366,22122,10919,11203,8848,1447,624,8879,1564,760,386110,85852,52472,156324,49218,35614,12906,3194,1398,16476,3420,1938,1866,536,212,180842,26590,12062,17696,2894,1248,"08"
"08003",16376,8023,8353,5458,1361,1204,5419,1493,1441,7490,3640,3850,2171,708,761,2205,751,894,211,145,66,117,13,15,56,9,1,215,106,109,77,24,5,72,21,16,142,67,75,32,13,22,62,9,4,7701,3717,3984,2821,532,364,2831,657,496,617,348,269,240,71,37,193,46,30,10916,2722,2408,4342,1416,1522,234,26,30,64,26,44,154,48,10,5642,1064,728,480,142,74,"08"
"08005",655070,325174,329896,228285,56738,40151,219635,59953,50308,368047,182434,185613,114162,36921,31351,107946,38757,38910,68152,34438,33714,25382,6234,2822,24230,5980,3504,2654,1268,1386,907,224,137,924,296,166,41855,19630,22225,14403,3334,1893,15520,3988,2717,135729,68184,67545,57277,7882,3025,55213,8515,3817,38633,19220,19413,16154,2143,923,15802,2417,1194,456570,113476,80302,228324,73842,62702,50764,12468,5644,28806,6668,3786,1814,448,274,114554,15764,6050,32308,4286,1846,"08"
"08007",13359,6724,6635,3265,1532,1927,3103,1672,1860,10175,5110,5065,2188,1235,1687,2079,1350,1636,41,7,34,3,4,0,19,5,10,170,105,65,64,24,17,36,16,13,101,41,60,15,20,6,31,17,12,2159,1088,1071,761,162,165,707,224,140,713,373,340,234,87,52,231,60,49,6530,3064,3854,4376,2470,3374,6,8,0,30,40,12,128,48,34,1522,324,330,468,174,104,"08"
"08009",3506,1789,1717,1008,363,418,892,353,472,2916,1481,1435,782,330,369,702,300,433,19,14,5,14,0,0,5,0,0,38,18,20,16,2,0,14,6,0,8,6,2,3,0,3,2,0,0,346,178,168,133,24,21,120,31,17,179,92,87,60,7,25,49,16,22,2016,726,836,1564,660,738,28,0,0,6,0,6,32,4,0,266,48,42,120,14,50,"08"
"08011",5650,3498,2152,2240,726,532,1169,485,498,3315,1962,1353,1107,464,391,636,347,370,255,232,23,185,43,4,15,8,0,90,74,16,46,18,10,15,0,1,39,26,13,18,8,0,12,1,0,1760,1106,654,821,182,103,425,117,112,191,98,93,63,11,24,66,12,15,4480,1452,1064,2214,928,782,370,86,8,36,16,0,92,36,20,1642,364,206,126,22,48,"08"
"08013",330758,166794,163964,112786,30441,23567,104570,31698,27696,245203,123664,121539,77858,24893,20913,71443,25570,24526,3149,1848,1301,1371,287,190,1000,175,126,1112,571,541,444,66,61,391,105,45,16291,7803,8488,6261,1052,490,6404,1354,730,48168,24262,23906,19965,2953,1344,19093,3219,1594,16835,8646,8189,6887,1190,569,6239,1275,675,225572,60882,47134,155716,49786,41826,2742,574,380,12522,2104,980,888,132,122,39930,5906,2688,13774,2380,1138,"08"
"08014",74112,37004,37108,25720,6494,4790,24313,6721,6074,53904,26919,26985,17539,5168,4212,16347,5296,5342,927,522,405,407,83,32,304,65,36,197,89,108,57,22,10,73,23,12,5096,2431,2665,1807,431,193,1984,453,228,9919,4975,4944,4196,550,229,3976,640,328,4069,2068,2001,1714,240,114,1629,244,128,51440,12988,9580,35078,10336,8424,814,166,64,3614,862,386,114,44,20,8392,1100,458,3428,480,228,"08"
"08015",19476,10250,9226,5584,2146,2520,4342,2199,2685,16195,8326,7869,4167,1843,2316,3479,1954,2436,295,266,29,217,38,11,21,3,5,132,88,44,58,25,5,30,6,8,133,49,84,34,12,3,39,28,17,1841,1096,745,815,152,129,491,118,136,880,425,455,293,76,56,282,90,83,11168,4292,5040,8334,3686,4632,434,76,22,68,24,6,116,50,10,1630,304,258,586,152,112,"08"
"08017",1748,874,874,513,176,185,474,194,206,1470,726,744,391,161,174,383,167,194,1,1,0,1,0,0,0,0,0,5,5,0,5,0,0,0,0,0,3,1,2,1,0,0,2,0,0,206,111,95,87,15,9,64,21,10,63,30,33,28,0,2,25,6,2,1026,352,370,782,322,348,2,0,0,2,0,0,10,0,0,174,30,18,56,0,4,"08"
"08019",9397,4995,4402,2655,1280,1060,2236,1231,935,8149,4320,3829,2186,1157,977,1864,1101,864,49,27,22,20,7,0,15,7,0,41,27,14,19,6,2,6,7,1,82,44,38,13,11,20,31,6,1,648,339,309,254,53,32,180,78,51,428,238,190,163,46,29,140,32,18,5310,2560,2120,4372,2314,1954,40,14,0,26,22,40,38,12,4,508,106,64,326,92,58,"08"
"08021",7461,3726,3735,2199,721,806,2169,759,807,3465,1706,1759,1058,272,376,1014,342,403,14,6,8,5,1,0,8,0,0,44,25,19,14,3,8,7,6,6,21,11,10,4,1,6,7,3,0,3779,1907,1872,1087,427,393,1079,403,390,138,71,67,31,17,23,54,5,8,4398,1442,1612,2116,544,752,10,2,0,8,2,12,28,6,16,2174,854,786,62,34,46,"08"
"08023",3499,1826,1673,859,447,520,782,434,457,1234,621,613,227,183,211,220,186,207,33,22,11,9,9,4,8,2,1,34,14,20,6,6,2,9,3,8,55,32,23,13,1,18,8,11,4,1988,1041,947,544,230,267,498,225,224,155,96,59,60,18,18,39,7,13,1718,894,1040,454,366,422,18,18,8,26,2,36,12,12,4,1088,460,534,120,36,36,"08"
"08025",5922,4394,1528,2985,911,498,775,360,393,3438,2398,1040,1462,560,376,471,254,315,510,501,9,363,124,14,6,0,3,151,125,26,98,21,6,11,8,7,69,55,14,45,4,6,12,0,2,1608,1249,359,968,192,89,229,77,53,146,66,80,49,10,7,46,21,13,5970,1822,996,2924,1120,752,726,248,28,90,8,12,196,42,12,1936,384,178,98,20,14,"08"
"08027",4704,2353,2351,912,598,843,921,681,749,4212,2108,2104,758,550,800,774,628,702,10,0,10,0,0,0,6,4,0,42,15,27,11,2,2,8,13,6,22,3,19,0,2,1,14,2,3,178,97,81,55,24,18,52,15,14,240,130,110,88,20,22,67,19,24,1824,1196,1686,1516,1100,1600,0,0,0,0,4,2,22,4,4,110,48,36,176,40,44,"08"
"08029",31196,15599,15597,8246,3248,4105,7735,3400,4462,24907,12337,12570,5888,2735,3714,5639,2847,4084,121,84,37,57,19,8,28,5,4,121,68,53,38,13,17,15,18,20,236,126,110,89,10,27,73,25,12,4329,2300,2029,1732,365,203,1492,335,202,1482,684,798,442,106,136,488,170,140,16492,6496,8210,11776,5470,7428,114,38,16,178,20,54,76,26,34,3464,730,406,884,212,272,"08"
"08031",715522,358405,357117,267348,52837,38220,258422,51157,47538,388764,195982,192782,140647,29910,25425,133327,28296,31159,61098,30442,30656,20951,5658,3833,20195,5551,4910,3740,1845,1895,1304,362,179,1313,350,232,27198,12491,14707,9690,1674,1127,11032,1999,1676,199460,100330,99130,80177,13400,6753,77702,13084,8344,35262,17315,17947,14579,1833,903,14853,1877,1217,534696,105674,76440,281294,59820,50850,41902,11316,7666,19380,3348,2254,2608,724,358,160354,26800,13506,29158,3666,1806,"08"
"30063",117922,58441,59481,38667,10126,9648,38032,10636,10813,99953,49841,50112,31569,9194,9078,30445,9540,10127,706,427,279,352,60,15,245,20,14,3009,1465,1544,1160,190,115,1173,221,150,1423,573,850,456,60,57,607,148,95,6004,2719,3285,2387,212,120,2894,258,133,6827,3416,3411,2743,410,263,2668,449,294,77334,20252,19296,63138,18388,18156,704,120,30,912,120,114,2320,380,230,4774,424,240,5486,820,526,"30"
"30057",8623,4501,4122,2081,1030,1390,1881,1021,1220,7955,4188,3767,1888,969,1331,1660,933,1174,11,6,5,6,0,0,5,0,0,34,12,22,10,0,2,11,7,4,30,7,23,4,0,3,8,12,3,239,122,117,81,21,20,80,24,13,354,166,188,92,40,34,117,45,26,4162,2060,2780,3776,1938,2662,12,0,0,8,0,6,20,0,4,162,42,40,184,80,68,"30"
"30059",1927,992,935,466,240,286,418,254,263,1781,914,867,418,220,276,365,242,260,12,10,2,6,4,0,2,0,0,4,1,3,1,0,0,3,0,0,2,0,2,0,0,0,2,0,0,46,20,26,13,2,5,18,5,3,82,47,35,28,14,5,28,7,0,932,480,572,836,440,552,12,8,0,0,0,0,2,0,0,26,4,10,56,28,10,"30"
"30061",4535,2329,2206,1054,584,691,1047,551,608,4044,2099,1945,904,539,656,890,492,563,10,7,3,6,1,0,3,0,0,63,32,31,17,5,10,11,7,13,21,11,10,8,3,0,2,3,5,147,70,77,57,7,6,57,11,9,250,110,140,62,29,19,84,38,18,2108,1168,1382,1808,1078,1312,12,2,0,16,6,0,34,10,20,114,14,12,124,58,38,"30"
"30065",4730,2412,2318,1180,576,656,1127,558,633,4274,2188,2086,1010,549,629,953,523,610,4,2,2,1,0,1,0,0,2,87,38,49,36,2,0,38,4,7,22,3,19,2,0,1,13,6,0,146,82,64,66,5,11,52,8,4,197,99,98,65,20,14,71,17,10,2360,1152,1312,2020,1098,1258,2,0,2,4,0,2,72,4,0,132,10,22,130,40,28,"30"
"30067",17191,8672,8519,4705,2007,1960,4556,1937,2026,15636,7956,7680,4244,1862,1850,3987,1787,1906,62,39,23,23,12,4,16,4,3,142,57,85,38,6,13,47,20,18,75,21,54,13,0,8,34,10,10,510,221,289,156,38,27,206,41,42,766,378,388,231,89,58,266,75,47,9410,4014,3920,8488,3724,3700,46,24,8,26,0,16,76,12,26,312,76,54,462,178,116,"30"
"30069",496,260,236,110,63,87,104,65,67,466,236,230,96,59,81,100,64,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,1,0,0,0,0,25,19,6,10,3,6,4,1,1,220,126,174,192,118,162,0,0,0,0,0,0,0,0,0,8,2,0,20,6,12,"30"
"30071",4217,2116,2101,1174,456,486,1118,482,501,3492,1775,1717,921,406,448,882,396,439,5,5,0,4,1,0,0,0,0,329,155,174,113,27,15,113,28,33,15,3,12,2,0,1,6,6,0,112,63,49,53,1,9,38,9,2,264,115,149,81,21,13,79,43,27,2348,912,972,1842,812,896,8,2,0,4,0,2,226,54,30,106,2,18,162,42,26,"30"
"30073",5898,2938,2960,1751,547,640,1649,627,684,4644,2301,2343,1277,442,582,1194,532,617,4,2,2,0,0,2,2,0,0,891,446,445,343,64,39,322,70,53,25,14,11,11,3,0,7,4,0,97,57,40,43,10,4,34,1,5,237,118,119,77,28,13,90,20,9,3502,1094,1280,2554,884,1164,0,0,4,22,6,0,686,128,78,86,20,8,154,56,26,"30"
"30075",1694,840,854,418,189,233,421,189,244,1529,769,760,365,177,227,357,168,235,5,3,2,3,0,0,2,0,0,31,13,18,6,7,0,13,3,2,0,0,0,0,0,0,0,0,0,35,16,19,11,2,3,13,5,1,94,39,55,33,3,3,36,13,6,836,378,466,730,354,454,6,0,0,0,0,0,12,14,0,22,4,6,66,6,6,"30"
"30077",6946,4321,2625,2493,1014,814,1307,620,698,6016,3669,2347,1976,918,775,1130,551,666,64,58,6,49,5,4,3,3,0,402,359,43,295,52,12,29,6,8,23,8,15,6,2,0,4,10,1,161,96,65,74,16,6,46,11,8,280,131,149,93,21,17,95,39,15,4986,2028,1628,3952,1836,1550,98,10,8,12,4,0,590,104,24,148,32,12,186,42,34,"30"
"30079",1088,576,512,284,112,180,213,133,166,982,515,467,235,103,177,181,123,163,2,2,0,2,0,0,0,0,0,13,6,7,2,4,0,5,1,1,7,5,2,4,1,0,2,0,0,33,21,12,19,1,1,8,4,0,51,27,24,22,3,2,17,5,2,568,224,360,470,206,354,4,0,0,8,2,0,4,8,0,38,2,2,44,6,4,"30"
"30081",44174,21834,22340,11099,4707,6028,10857,5169,6314,39695,19694,20001,9641,4305,5748,9364,4659,5978,88,58,30,45,8,5,17,6,7,323,148,175,81,28,39,107,38,30,241,73,168,44,12,17,87,46,35,1584,750,834,558,121,71,562,168,104,2243,1111,1132,730,233,148,720,252,160,22198,9414,12056,19282,8610,11496,90,16,10,88,24,34,162,56,78,1116,242,142,1460,466,296,"30"
"30083",11491,5894,5597,3820,1178,896,3569,1132,896,9892,5080,4812,3180,1057,843,2967,1013,832,61,35,26,26,9,0,14,9,3,165,88,77,76,12,0,42,25,10,121,50,71,45,1,4,58,9,4,605,316,289,254,45,17,235,36,18,647,325,322,239,54,32,253,40,29,7640,2356,1792,6360,2114,1686,52,18,0,90,2,8,152,24,0,508,90,34,478,108,64,"30"
"30085",10794,5383,5411,3791,876,716,3667,971,773,3587,1881,1706,1046,402,433,877,410,419,32,11,21,8,2,1,17,4,0,6150,2979,3171,2323,413,243,2392,475,304,47,17,30,11,5,1,25,4,1,239,119,120,92,19,8,94,24,2,739,376,363,311,35,30,262,54,47,7582,1752,1432,2092,804,866,16,4,2,22,10,2,4646,826,486,184,38,16,622,70,60,"30"
"30087",8329,4207,4122,2640,862,705,2505,877,740,4768,2476,2292,1283,634,559,1124,606,562,20,12,8,8,2,2,8,0,0,2908,1412,1496,1096,201,115,1114,235,147,32,16,16,13,3,0,16,0,0,234,121,113,95,12,14,95,9,9,367,170,197,145,10,15,148,27,22,5280,1724,1410,2566,1268,1118,16,4,4,26,6,0,2192,402,230,190,24,28,290,20,30,"30"
"30089",12400,6309,6091,2810,1395,2104,2689,1508,1894,10732,5489,5243,2278,1232,1979,2203,1308,1732,23,9,14,5,3,1,11,1,2,441,229,212,150,54,25,111,58,43,56,21,35,15,2,4,18,9,8,346,167,179,125,24,18,120,37,22,802,394,408,237,80,77,226,95,87,5620,2790,4208,4556,2464,3958,10,6,2,30,4,8,300,108,50,250,48,36,474,160,154,"30"
