"FIPS","AllRace_Total","AllRace_Male","AllRace_Female","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_Male","W_Female","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_Male","B_Female","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_Male","I_Female","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_Male","A_Female","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_Male","H_Female","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_Male","O_Female","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female_50-","O_Female_50-65","O_Female_65+","AllRace_50-","AllRace_50-65","AllRace_65+","W_50-","W_50-65","W_65+","B_50-","B_50-65","B_65+","A_50-","A_50-65","A_65+","I_50-","I_50-65","I_65+","H_50-","H_50-65","H_65+","O_50-","O_50-65","O_65+","state"
"48249",38891,19015,19876,12492,3513,3010,12369,3835,3672,6963,3409,3554,1732,800,877,1761,827,966,180,98,82,67,19,12,44,18,20,58,20,38,11,9,0,25,10,3,140,73,67,44,15,14,46,19,2,30835,15009,15826,10349,2598,2062,10290,2905,2631,715,406,309,289,72,45,203,56,50,24984,7026,6020,3464,1600,1754,134,38,24,88,30,28,22,18,0,20698,5196,4124,578,144,90,"48"
"35035",67839,34834,33005,22893,6112,5829,20178,6445,6382,30931,16099,14832,8704,3329,4066,7266,3387,4179,2299,1333,966,982,196,155,679,162,125,4173,2028,2145,1615,266,147,1577,361,207,1001,421,580,336,56,29,336,117,127,26152,13274,12878,9941,2030,1303,9178,2161,1539,3283,1679,1604,1315,235,129,1142,257,205,45786,12224,11658,17408,6658,8132,1964,392,310,672,112,58,3230,532,294,19882,4060,2606,2630,470,258,"35"
"35037",8746,4294,4452,2284,912,1098,2307,964,1181,4434,2215,2219,910,545,760,955,520,744,89,44,45,30,7,7,24,17,4,57,32,25,21,11,0,12,9,4,48,18,30,16,2,0,11,14,5,3848,1856,1992,1208,328,320,1240,368,384,270,129,141,99,19,11,65,36,40,4568,1824,2196,1820,1090,1520,60,14,14,32,4,0,42,22,0,2416,656,640,198,38,22,"35"
"35039",40363,19830,20533,11643,4200,3987,11533,4495,4505,5945,2925,3020,1052,760,1113,1046,841,1133,160,103,57,60,26,17,23,16,18,6135,2928,3207,2143,491,294,2078,642,487,233,105,128,66,22,17,82,30,16,27159,13406,13753,8080,2828,2498,8077,2882,2794,731,363,368,242,73,48,227,84,57,23286,8400,7974,2104,1520,2226,120,52,34,132,44,34,4286,982,588,16160,5656,4996,484,146,96,"35"
"35041",19191,9547,9644,6759,1493,1295,6621,1528,1495,9328,4572,4756,2838,818,916,2793,890,1073,443,260,183,232,9,19,147,28,8,163,80,83,56,16,8,57,13,13,173,78,95,60,11,7,71,9,15,8397,4199,4198,3308,585,306,3303,536,359,687,358,329,265,54,39,250,52,27,13518,2986,2590,5676,1636,1832,464,18,38,120,22,14,112,32,16,6616,1170,612,530,108,78,"35"
"35043",148834,72537,76297,45117,14170,13250,44903,15530,15864,63426,31136,32290,15001,7433,8702,14425,7836,10029,2823,1558,1265,961,381,216,736,245,284,16891,8097,8794,5941,1351,805,6017,1555,1222,2320,905,1415,662,137,106,804,373,238,57617,27947,29670,20484,4419,3044,20991,5005,3674,5757,2894,2863,2068,449,377,1930,516,417,90234,28340,26500,30002,14866,17404,1922,762,432,1324,274,212,11882,2702,1610,40968,8838,6088,4136,898,754,"35"
"35045",121661,59711,61950,40211,10901,8599,39920,11597,10433,43583,21499,22084,11633,4941,4925,11410,5004,5670,554,311,243,209,61,41,173,50,20,48413,23569,24844,17472,3787,2310,17405,4264,3175,872,351,521,264,62,25,367,106,48,23630,11738,11892,8916,1695,1127,8890,1752,1250,4609,2243,2366,1717,355,171,1675,421,270,80422,21802,17198,23266,9882,9850,418,122,82,528,124,50,34944,7574,4620,17832,3390,2254,3434,710,342,"35"
"35047",27201,13502,13699,7694,3035,2773,7561,3010,3128,5447,2744,2703,1215,652,877,1107,649,947,264,168,96,129,24,15,55,26,15,278,134,144,100,19,15,94,32,18,132,65,67,47,10,8,45,13,9,20490,10096,10394,6021,2283,1792,6083,2227,2084,590,295,295,182,47,66,177,63,55,15388,6070,5546,2430,1304,1754,258,48,30,94,20,16,200,38,30,12042,4566,3584,364,94,132,"35"
"35049",154823,74881,79942,40952,15690,18239,40437,17915,21590,67861,32109,35752,11943,7818,12348,12034,9402,14316,1221,775,446,453,176,146,273,72,101,3869,1917,1952,1338,334,245,1309,387,256,2238,969,1269,648,163,158,802,271,196,74377,36683,37694,25036,6732,4915,24401,7143,6150,5257,2428,2829,1534,467,427,1618,640,571,81904,31380,36478,23886,15636,24696,906,352,292,1296,326,316,2676,668,490,50072,13464,9830,3068,934,854,"35"
"35051",11576,5781,5795,2402,1297,2082,2354,1369,2072,7507,3806,3701,1210,860,1736,1147,930,1624,70,45,25,25,11,9,15,6,4,106,57,49,16,20,21,13,21,15,119,50,69,34,10,6,36,21,12,3311,1636,1675,1019,344,273,1024,310,341,463,187,276,98,52,37,119,81,76,4804,2594,4164,2420,1720,3472,50,22,18,68,20,12,32,40,42,2038,688,546,196,104,74,"35"
"35053",16595,8550,8045,5446,1535,1569,4794,1591,1660,5361,2833,2528,1462,594,777,1187,573,768,121,71,50,44,9,18,30,7,13,1946,987,959,722,168,97,691,160,108,295,158,137,109,21,28,90,14,33,8353,4241,4112,2943,700,598,2618,784,710,519,260,259,166,43,51,178,53,28,10892,3070,3138,2924,1188,1554,88,18,36,218,42,56,1444,336,194,5886,1400,1196,332,86,102,"35"
"35055",34489,16818,17671,8655,3751,4412,8601,4042,5028,13706,6558,7148,2545,1608,2405,2576,1815,2757,130,72,58,42,8,22,36,13,9,1830,896,934,549,185,162,572,174,188,196,67,129,34,17,16,79,28,22,17430,8654,8776,5154,1821,1679,5005,1856,1915,1197,571,626,331,112,128,333,156,137,17310,7502,8824,5090,3216,4810,84,16,44,68,34,32,1098,370,324,10308,3642,3358,662,224,256,"35"
"35057",15045,7609,7436,4256,1691,1662,4051,1798,1587,7761,3896,3865,1829,970,1097,1735,1104,1026,121,68,53,31,22,15,26,20,7,237,92,145,41,25,26,90,44,11,51,25,26,6,2,17,14,8,4,6265,3213,3052,2168,583,462,1986,568,498,610,315,295,181,89,45,200,54,41,8512,3382,3324,3658,1940,2194,62,44,30,12,4,34,82,50,52,4336,1166,924,362,178,90,"35"
"35059",4079,2251,1828,1358,498,395,1007,369,452,2234,1178,1056,632,284,262,534,218,304,65,46,19,29,12,5,8,2,9,57,43,14,35,5,3,11,1,2,6,3,3,2,0,1,2,0,1,1596,918,678,614,183,121,417,138,123,121,63,58,46,14,3,35,10,13,2716,996,790,1264,568,524,58,24,10,4,0,2,70,10,6,1228,366,242,92,28,6,"35"
"35061",76205,38445,37760,24287,7567,6591,22586,7813,7361,24651,12377,12274,6096,2918,3363,5517,3058,3699,747,484,263,280,114,90,161,62,40,2353,1165,1188,823,224,118,772,244,172,341,135,206,80,31,24,125,36,45,45775,23153,22622,16251,4066,2836,15208,4193,3221,2338,1131,1207,757,214,160,803,220,184,48574,15134,13182,12192,5836,6726,560,228,180,160,62,48,1646,448,236,32502,8132,5672,1514,428,320,"35"
"35007",12387,6073,6314,3025,1412,1636,3163,1482,1669,5954,2938,3016,1117,756,1065,1182,809,1025,25,10,15,7,0,3,5,6,4,108,52,56,41,6,5,45,6,5,60,20,40,11,7,2,21,5,14,5878,2871,3007,1728,613,530,1820,621,566,362,182,180,121,30,31,90,35,55,6050,2824,3272,2234,1512,2130,14,0,6,22,14,4,82,12,10,3456,1226,1060,242,60,62,"35"
"35003",3579,1878,1701,609,421,848,540,458,703,2738,1453,1285,391,339,723,350,367,568,35,12,23,9,0,3,14,0,9,47,17,30,5,4,8,13,13,4,8,5,3,2,0,3,1,1,1,602,325,277,163,74,88,125,51,101,149,66,83,39,4,23,37,26,20,1218,842,1696,782,678,1446,18,0,6,4,0,6,10,8,16,326,148,176,78,8,46,"35"
"35005",65157,32524,32633,22127,5644,4753,21139,5871,5623,24445,12182,12263,6753,2627,2802,6256,2680,3327,947,539,408,333,118,88,264,79,65,411,220,191,147,38,35,123,43,25,611,286,325,209,59,18,221,54,50,37097,18549,18548,14165,2661,1723,13653,2851,2044,1646,748,898,520,141,87,622,164,112,44254,11288,9506,13506,5254,5604,666,236,176,418,118,36,294,76,70,28330,5322,3446,1040,282,174,"35"
"35006",27172,13435,13737,8758,2553,2124,8430,2725,2582,5538,2843,2695,1360,715,768,1191,666,838,254,175,79,123,26,26,51,19,9,11767,5512,6255,3938,940,634,4217,1115,923,201,88,113,48,24,16,60,35,18,8644,4434,4210,3023,785,626,2654,814,742,768,383,385,266,63,54,257,76,52,17516,5106,4248,2720,1430,1536,246,52,52,96,48,32,7876,1880,1268,6046,1570,1252,532,126,108,"35"
"35009",48430,24502,23928,17733,3891,2878,16409,4014,3505,21052,10706,10346,6751,2062,1893,6072,2022,2252,2513,1378,1135,1031,196,151,787,209,139,249,104,145,69,18,17,93,28,24,733,324,409,249,45,30,265,92,52,21796,10904,10892,8727,1451,726,8454,1500,938,2087,1086,1001,906,119,61,738,163,100,35466,7782,5756,13502,4124,3786,2062,392,302,498,90,60,138,36,34,17454,2902,1452,1812,238,122,"35"
"35011",1698,841,857,401,212,228,407,211,239,983,485,498,209,122,154,217,123,158,3,2,1,0,0,2,1,0,0,4,1,3,1,0,0,0,3,0,4,4,0,3,0,1,0,0,0,654,325,329,171,85,69,173,83,73,50,24,26,17,5,2,16,2,8,802,424,456,418,244,308,0,0,4,6,0,2,2,0,0,342,170,138,34,10,4,"35"
"35013",219561,107150,112411,71667,17877,17606,71538,20535,20338,59749,30119,29630,15236,5972,8911,13657,6298,9675,3172,1891,1281,1283,359,249,863,222,196,1463,697,766,483,100,114,499,158,109,2458,1110,1348,842,174,94,932,251,165,147672,70791,76881,52094,10818,7879,53913,13146,9822,5047,2542,2505,1729,454,359,1674,460,371,143334,35754,35212,30472,11944,17822,2566,718,498,1684,348,188,966,200,228,104188,21636,15758,3458,908,718,"35"
"35015",62314,31630,30684,21729,5774,4127,20467,5503,4714,27139,13649,13490,8215,2939,2495,7747,2822,2921,791,449,342,291,90,68,206,71,65,518,270,248,199,48,23,170,57,21,578,322,256,249,44,29,193,34,29,31307,15904,15403,12069,2449,1386,11520,2339,1544,1981,1036,945,706,204,126,631,180,134,43458,11548,8254,16430,5878,4990,582,180,136,498,88,58,398,96,46,24138,4898,2772,1412,408,252,"35"
"35017",28185,13829,14356,7186,2712,3931,7168,3005,4183,13117,6587,6530,2553,1453,2581,2390,1577,2563,249,140,109,101,20,19,66,25,18,265,107,158,61,27,19,97,34,27,191,78,113,55,13,10,81,9,23,13466,6480,6986,4154,1131,1195,4279,1279,1428,897,437,460,262,68,107,255,81,124,14372,5424,7862,5106,2906,5162,202,40,38,110,26,20,122,54,38,8308,2262,2390,524,136,214,"35"
"35019",4452,2518,1934,1593,487,438,1021,496,417,769,466,303,238,130,98,125,96,82,64,56,8,44,8,4,3,1,4,40,39,1,34,5,0,0,0,1,49,20,29,13,5,2,17,7,5,3436,1883,1553,1237,329,317,853,380,320,94,54,40,27,10,17,23,12,5,3186,974,876,476,260,196,88,16,8,26,10,4,68,10,0,2474,658,634,54,20,34,"35"
"35021",657,327,330,132,65,130,131,78,121,352,177,175,71,33,73,62,42,71,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,136,146,54,28,54,65,33,48,21,12,9,5,4,3,4,3,2,264,130,260,142,66,146,4,0,0,0,0,0,0,0,0,108,56,108,10,8,6,"35"
"35023",4178,2106,2072,1200,466,440,1174,431,467,1645,861,784,403,231,227,361,166,257,14,4,10,4,0,0,6,0,4,14,3,11,1,2,0,4,5,2,11,1,10,1,0,0,8,0,2,2390,1170,1220,753,213,204,771,254,195,104,67,37,38,20,9,24,6,7,2400,932,880,806,462,454,8,0,0,2,0,0,2,4,0,1506,426,408,76,40,18,"35"
"35025",74455,38389,36066,28501,6052,3836,25970,5666,4430,23775,12132,11643,7334,2625,2173,6544,2434,2665,2497,1357,1140,1032,184,141,771,216,153,477,275,202,170,77,28,139,47,16,636,311,325,258,48,5,250,35,40,45193,23383,21810,18987,2984,1412,17621,2761,1428,1877,931,946,720,134,77,645,173,128,57002,12104,7672,14668,5250,4346,2064,368,282,516,96,10,340,154,56,37974,5968,2824,1440,268,154,"35"
"35027",20269,9926,10343,4772,2232,2922,4669,2574,3100,12339,6039,6300,2181,1499,2359,2064,1771,2465,68,34,34,25,3,6,21,5,8,429,209,220,152,24,33,159,37,24,138,41,97,32,8,1,54,18,25,6496,3196,3300,2147,629,420,2147,655,498,799,407,392,235,69,103,224,88,80,9544,4464,5844,4362,2998,4718,50,6,12,64,16,2,304,48,66,4294,1258,840,470,138,206,"35"
"35028",19419,9818,9601,5951,2159,1708,5746,2044,1811,13446,6918,6528,3852,1645,1421,3527,1524,1477,157,82,75,46,18,18,46,12,17,116,55,61,33,14,8,37,14,10,1223,610,613,465,108,37,442,120,51,3435,1631,1804,1201,269,161,1305,306,193,1042,522,520,354,105,63,389,68,63,11902,4318,3416,7704,3290,2842,92,36,36,930,216,74,66,28,16,2402,538,322,708,210,126,"35"
"35029",25427,12658,12769,7656,2269,2733,7491,2486,2792,7671,3925,3746,1633,790,1502,1400,829,1517,228,123,105,66,25,32,73,23,9,143,83,60,62,16,5,31,8,21,160,68,92,50,8,10,57,18,17,16670,8212,8458,5678,1395,1139,5760,1536,1162,555,247,308,167,35,45,170,72,66,15312,4538,5466,3266,1580,3004,132,50,64,100,16,20,124,32,10,11356,2790,2278,334,70,90,"35"
"35031",72902,35326,37576,24894,6274,4158,24932,7062,5582,5946,3041,2905,1468,731,842,1327,729,849,323,173,150,91,45,37,75,50,25,55401,26528,28873,19373,4525,2630,19573,5336,3964,935,436,499,287,105,44,348,106,45,8611,4367,4244,3091,771,505,2922,726,596,1686,781,905,584,97,100,687,115,103,49788,12548,8316,2936,1462,1684,182,90,74,574,210,88,38746,9050,5260,6182,1542,1010,1168,194,200,"35"
"35033",4189,2135,2054,986,544,605,928,517,609,764,403,361,116,105,182,93,109,159,10,9,1,4,2,3,0,1,0,22,5,17,2,0,3,7,6,4,14,7,7,3,4,0,4,2,1,3301,1680,1621,844,427,409,797,384,440,78,31,47,17,6,8,27,15,5,1972,1088,1210,232,210,364,8,4,6,6,8,0,4,0,6,1688,854,818,34,12,16,"35"
"13213",39973,19820,20153,12969,4029,2822,12775,4061,3317,32164,15906,16258,9813,3460,2633,9611,3563,3084,263,133,130,99,17,17,77,23,30,79,35,44,11,18,6,29,13,2,127,59,68,37,6,16,43,23,2,5914,3001,2913,2513,380,108,2503,280,130,1426,686,740,496,148,42,512,159,69,25938,8058,5644,19626,6920,5266,198,34,34,74,12,32,22,36,12,5026,760,216,992,296,84,"13"
"13207",27957,14041,13916,8563,2961,2517,7869,3127,2920,19954,9947,10007,5756,2225,1966,5571,2243,2193,6084,3139,2945,2082,596,461,1643,704,598,34,10,24,7,2,1,8,13,3,239,118,121,64,31,23,71,32,18,714,403,311,328,40,35,226,46,39,932,424,508,326,67,31,350,89,69,17126,5922,5034,11512,4450,3932,4164,1192,922,128,62,46,14,4,2,656,80,70,652,134,62,"13"
"13209",8610,4394,4216,2852,889,653,2576,827,813,5665,2873,2792,1790,597,486,1608,555,629,2120,1120,1000,757,234,129,610,227,163,11,4,7,3,0,1,7,0,0,34,17,17,16,1,0,14,3,0,571,290,281,227,33,30,236,36,9,209,90,119,59,24,7,101,6,12,5704,1778,1306,3580,1194,972,1514,468,258,32,2,0,6,0,2,454,66,60,118,48,14,"13"
"13211",20097,9760,10337,5810,2118,1832,5934,2159,2244,14487,7082,7405,4028,1543,1511,4089,1572,1744,4105,1915,2190,1175,460,280,1286,465,439,42,23,19,8,10,5,11,7,1,122,52,70,35,15,2,46,12,12,712,371,341,303,43,25,274,36,31,629,317,312,261,47,9,228,67,17,11620,4236,3664,8056,3086,3022,2350,920,560,70,30,4,16,20,10,606,86,50,522,94,18,"13"
"13215",206922,98594,108328,68329,17684,12581,70441,19879,18008,79083,38525,40558,24377,7548,6600,23417,7885,9256,94701,43741,50960,30446,8264,5031,33932,9778,7250,488,249,239,174,53,22,178,39,22,5546,2577,2969,1956,396,225,1939,560,470,16513,8431,8082,7133,883,415,6546,936,600,10591,5071,5520,4243,540,288,4429,681,410,136658,35368,25162,48754,15096,13200,60892,16528,10062,3912,792,450,348,106,44,14266,1766,830,8486,1080,576,"13"
"13217",112483,53166,59317,35904,10383,6879,38318,11827,9172,46746,22961,23785,13532,5120,4309,13268,5247,5270,52246,23711,28535,17118,4404,2189,19537,5608,3390,175,68,107,30,29,9,80,17,10,1044,504,540,362,84,58,370,103,67,7164,3585,3579,3005,419,161,2986,399,194,5108,2337,2771,1857,327,153,2077,453,241,71808,20766,13758,27064,10240,8618,34236,8808,4378,724,168,116,60,58,18,6010,838,322,3714,654,306,"13"
"13219",41799,20461,21338,13618,3821,3022,13799,4062,3477,33886,16641,17245,10706,3260,2675,10728,3392,3125,1897,899,998,589,155,155,643,196,159,31,14,17,9,1,4,15,1,1,2066,1007,1059,757,185,65,795,174,90,2347,1162,1185,975,123,64,973,162,50,1572,738,834,582,97,59,645,137,52,27236,7642,6044,21412,6520,5350,1178,310,310,1514,370,130,18,2,8,1950,246,128,1164,194,118,"13"
"13221",14825,7294,7531,4328,1642,1324,4342,1657,1532,10903,5425,5478,3030,1337,1058,3012,1270,1196,2248,1029,1219,620,228,181,700,266,253,40,25,15,17,8,0,2,7,6,134,64,70,47,0,17,48,10,12,869,439,430,366,42,31,356,42,32,631,312,319,248,27,37,224,62,33,8656,3284,2648,6060,2674,2116,1240,456,362,94,0,34,34,16,0,732,84,62,496,54,74,"13"
"13223",168661,81724,86937,57566,15766,8392,59101,16766,11070,108444,53449,54995,35337,11302,6810,35056,11406,8533,36609,16981,19628,13033,2939,1009,14282,3624,1722,394,196,198,137,47,12,117,57,24,1926,828,1098,607,122,99,759,208,131,12564,6074,6490,5026,772,276,5310,807,373,8724,4196,4528,3426,584,186,3577,664,287,115132,31532,16784,70674,22604,13620,26066,5878,2018,1214,244,198,274,94,24,10052,1544,552,6852,1168,372,"13"
"13225",27981,13437,14544,8554,2781,2102,8826,2997,2721,12119,5985,6134,3116,1550,1319,3000,1552,1582,12139,5464,6675,3875,945,644,4513,1166,996,63,25,38,13,1,11,27,10,1,194,90,104,59,23,8,48,28,28,2547,1428,1119,1149,202,77,898,160,61,919,445,474,342,60,43,340,81,53,17108,5562,4204,6232,3100,2638,7750,1890,1288,118,46,16,26,2,22,2298,404,154,684,120,86,"13"
"13227",33216,16352,16864,8877,3679,3796,8690,3860,4314,30122,14842,15280,7792,3414,3636,7577,3579,4124,286,162,124,99,34,29,61,26,37,85,47,38,16,26,5,24,10,4,191,90,101,58,26,6,61,31,9,1198,586,612,462,74,50,499,58,55,1334,625,709,450,105,70,468,156,85,17754,7358,7592,15584,6828,7272,198,68,58,116,52,12,32,52,10,924,148,100,900,210,140,"13"
"13229",19716,9671,10045,6106,1969,1596,6114,1972,1959,16403,8024,8379,4958,1648,1418,4961,1687,1731,1597,754,843,445,200,109,540,151,152,41,21,20,15,2,4,3,17,0,82,30,52,24,0,6,32,5,15,998,531,467,445,67,19,376,68,23,595,311,284,219,52,40,202,44,38,12212,3938,3192,9916,3296,2836,890,400,218,48,0,12,30,4,8,890,134,38,438,104,80,"13"
"13231",18889,9287,9602,5825,2031,1431,6041,1951,1610,16313,8051,8262,5051,1735,1265,5178,1676,1408,1445,721,724,368,218,135,399,190,135,28,12,16,7,2,3,11,5,0,77,31,46,13,5,13,27,13,6,348,177,171,150,22,5,133,14,24,678,295,383,236,49,10,293,53,37,11650,4062,2862,10102,3470,2530,736,436,270,26,10,26,14,4,6,300,44,10,472,98,20,"13"
"13233",42853,20846,22007,13360,4228,3258,13670,4373,3964,30161,14668,15493,8518,3346,2804,8823,3374,3296,5119,2351,2768,1602,463,286,1725,562,481,101,39,62,30,8,1,39,13,10,239,98,141,62,27,9,96,22,23,5585,2891,2694,2525,279,87,2357,271,66,1648,799,849,623,105,71,630,131,88,26720,8456,6516,17036,6692,5608,3204,926,572,124,54,18,60,16,2,5050,558,174,1246,210,142,"13"
"13235",9855,4166,5689,2399,924,843,3385,1205,1099,6022,2654,3368,1365,643,646,1838,777,753,3161,1211,1950,809,225,177,1272,380,298,8,5,3,0,2,3,3,0,0,92,38,54,27,9,2,33,14,7,327,156,171,125,25,6,148,9,14,245,102,143,73,20,9,91,25,27,4798,1848,1686,2730,1286,1292,1618,450,354,54,18,4,0,4,6,250,50,12,146,40,18,"13"
"13237",22047,10662,11385,5596,2414,2652,5758,2698,2929,14316,7083,7233,3151,1702,2230,3038,1859,2336,5385,2407,2978,1538,550,319,1833,661,484,33,9,24,4,2,3,21,3,0,108,57,51,32,6,19,26,15,10,1557,805,752,623,120,62,601,101,50,648,301,347,248,34,19,239,59,49,11192,4828,5304,6302,3404,4460,3076,1100,638,64,12,38,8,4,6,1246,240,124,496,68,38,"13"
"13239",2235,1106,1129,485,272,349,515,269,345,1190,597,593,207,142,248,212,145,236,917,447,470,241,117,89,268,109,93,13,5,8,2,1,2,1,4,3,12,6,6,4,0,2,4,1,1,31,12,19,8,4,0,15,2,2,72,39,33,23,8,8,15,8,10,970,544,698,414,284,496,482,234,178,8,0,4,4,2,4,16,8,0,46,16,16,"13"
"20013",9508,4680,4828,2776,967,937,2701,1047,1080,7683,3776,3907,2120,828,828,2077,879,951,97,52,45,34,3,15,23,8,14,795,380,415,272,70,38,259,90,66,42,24,18,20,1,3,12,2,4,352,190,162,146,21,23,126,21,15,539,258,281,184,44,30,204,47,30,5552,1934,1874,4240,1656,1656,68,6,30,40,2,6,544,140,76,292,42,46,368,88,60,"20"
"20007",4228,2147,2081,1163,456,528,1076,459,546,3814,1933,1881,985,444,504,924,428,529,7,3,4,3,0,0,4,0,0,34,27,7,25,2,0,6,1,0,16,11,5,5,0,6,3,2,0,162,83,79,75,0,8,63,10,6,195,90,105,70,10,10,76,18,11,2326,912,1056,1970,888,1008,6,0,0,10,0,12,50,4,0,150,0,16,140,20,20,"20"
"20009",25493,12598,12895,7698,2567,2333,7544,2566,2785,19911,9727,10184,5420,2186,2121,5392,2206,2586,293,142,151,93,25,24,123,12,16,90,49,41,24,23,2,16,14,11,80,37,43,34,1,2,19,11,13,4127,2140,1987,1751,246,143,1621,239,127,992,503,489,376,86,41,373,84,32,15396,5134,4666,10840,4372,4242,186,50,48,68,2,4,48,46,4,3502,492,286,752,172,82,"20"
"20011",14360,7132,7228,4579,1272,1281,4369,1298,1561,12451,6178,6273,3819,1135,1224,3632,1175,1466,454,289,165,236,38,15,134,21,10,88,35,53,19,11,5,37,2,14,98,40,58,38,2,0,34,20,4,386,196,190,156,24,16,164,19,7,883,394,489,311,62,21,368,61,60,9158,2544,2562,7638,2270,2448,472,76,30,76,4,0,38,22,10,312,48,32,622,124,42,"20"
"20015",67380,34216,33164,22646,6488,5082,20702,6571,5891,56846,28593,28253,18119,5781,4693,16903,5885,5465,1398,1067,331,883,141,43,246,56,29,489,231,258,148,47,36,181,59,18,996,477,519,408,36,33,400,88,31,3578,1887,1691,1522,217,148,1394,176,121,4073,1961,2112,1566,266,129,1578,307,227,45292,12976,10164,36238,11562,9386,1766,282,86,816,72,66,296,94,72,3044,434,296,3132,532,258,"20"
"20017",2572,1360,1212,800,270,290,634,270,308,2228,1127,1101,607,240,280,555,246,300,18,13,5,10,1,2,5,0,0,8,1,7,1,0,0,5,2,0,8,6,2,5,1,0,2,0,0,222,163,59,135,25,3,41,11,7,88,50,38,42,3,5,26,11,1,1600,540,580,1214,480,560,20,2,4,10,2,0,2,0,0,270,50,6,84,6,10,"20"
"20019",3379,1765,1614,949,403,413,838,336,440,2822,1461,1361,731,352,378,664,293,404,23,16,7,8,1,7,3,4,0,185,77,108,52,19,6,74,20,14,18,10,8,8,1,1,6,0,2,138,96,42,68,15,13,26,10,6,193,105,88,82,15,8,65,9,14,1898,806,826,1462,704,756,16,2,14,16,2,2,104,38,12,136,30,26,164,30,16,"20"
"20021",19362,9591,9771,5780,2046,1765,5581,2086,2104,16241,8025,8216,4602,1807,1616,4472,1822,1922,79,37,42,21,7,9,30,5,7,771,390,381,290,61,39,268,72,41,65,24,41,20,0,4,25,7,9,514,276,238,235,27,14,193,28,17,1692,839,853,612,144,83,593,152,108,11560,4092,3530,9204,3614,3232,42,14,18,40,0,8,580,122,78,470,54,28,1224,288,166,"20"
"20023",2616,1321,1295,760,248,313,655,256,384,2223,1103,1120,586,222,295,525,222,373,6,3,3,3,0,0,2,1,0,7,6,1,6,0,0,1,0,0,12,6,6,6,0,0,2,2,2,238,132,106,109,14,9,84,17,5,130,71,59,50,12,9,41,14,4,1520,496,626,1172,444,590,6,0,0,12,0,0,12,0,0,218,28,18,100,24,18,"20"
"20025",1991,957,1034,582,182,193,561,209,264,1668,788,880,448,159,181,464,170,246,1,1,0,0,1,0,0,0,0,20,10,10,5,4,1,8,0,2,24,14,10,7,7,0,8,1,1,203,106,97,91,9,6,64,23,10,75,38,37,31,2,5,17,15,5,1164,364,386,896,318,362,0,2,0,14,14,0,10,8,2,182,18,12,62,4,10,"20"
"20027",8117,4032,4085,2337,800,895,2225,813,1047,7486,3704,3782,2074,770,860,2011,761,1010,50,27,23,22,2,3,15,1,7,34,25,9,19,3,3,5,4,0,49,24,25,15,5,4,22,1,2,218,113,105,93,10,10,76,19,10,280,139,141,114,10,15,96,27,18,4674,1600,1790,4148,1540,1720,44,4,6,30,10,8,38,6,6,186,20,20,228,20,30,"20"
"20029",9032,4550,4482,2758,888,904,2508,862,1112,8235,4156,4079,2453,827,876,2189,805,1085,123,73,50,61,0,12,44,5,1,40,24,16,20,1,3,12,3,1,40,19,21,13,6,0,19,1,1,319,178,141,143,25,10,121,16,4,275,100,175,68,29,3,123,32,20,5516,1776,1808,4906,1654,1752,122,0,24,26,12,0,40,2,6,286,50,20,136,58,6,"20"
"20031",8360,4143,4217,2391,865,887,2299,914,1004,7670,3809,3861,2142,821,846,2054,841,966,45,16,29,10,0,6,21,5,3,36,19,17,18,1,0,14,3,0,44,15,29,9,4,2,19,4,6,221,121,100,103,11,7,84,11,5,344,163,181,109,28,26,107,50,24,4782,1730,1774,4284,1642,1692,20,0,12,18,8,4,36,2,0,206,22,14,218,56,52,"20"
"20033",1689,832,857,473,164,195,462,160,235,1520,732,788,389,158,185,413,149,226,10,4,6,2,0,2,6,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,61,37,55,2,4,24,7,6,59,33,26,25,4,4,19,4,3,946,328,390,778,316,370,4,0,4,0,0,0,4,0,0,110,4,8,50,8,8,"20"
"12031",995567,481651,513916,322478,92847,66326,326116,101896,85904,492039,242746,249293,144134,53570,45042,138375,55469,55449,286344,133462,152882,95822,24276,13364,104562,28956,19364,2306,1106,1200,671,267,168,691,324,185,48652,22823,25829,16336,3809,2678,16935,5103,3791,112689,55813,56876,44650,7668,3495,43852,8143,4881,53537,25701,27836,20865,3257,1579,21701,3901,2234,644956,185694,132652,288268,107140,90084,191644,48552,26728,32672,7618,5356,1342,534,336,89300,15336,6990,41730,6514,3158,"12"
