"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"13",10711908,7034192,1956832,1386116,5188570,3517096,978416,693058,5523338,3577104,1060003,886231,5362156,3175524,1138462,963196,2638591,1587762,569231,481598,2723565,1554106,583065,586394,3278119,2192488,550290,305662,1524220,1096244,275145,152831,1753899,1194867,333743,225289,20375,13014,4602,2584,10100,6507,2301,1292,10275,6366,2453,1456,475680,339856,76334,40988,228589,169928,38167,20494,247091,178621,42628,25842,1123457,970832,130368,45424,573312,485416,65184,22712,550145,459465,63053,27627,452121,342478,56776,28262,213758,171239,28388,14131,238363,183679,35061,19623
"15",1455271,912642,282636,260410,727844,456321,141318,130205,727427,430599,144582,152246,314365,183114,73240,81368,168861,91557,36620,40684,145504,75760,31646,38098,21877,19600,4744,2440,13392,9800,2372,1220,8485,6563,1198,724,2321,1348,576,384,1154,674,288,192,1167,663,281,223,531558,256310,116122,121956,247194,128155,58061,60978,284364,134826,67509,82029,138923,113986,17356,10330,70836,56993,8678,5165,68087,53418,8810,5859,446227,338284,70598,43932,226407,169142,35299,21966,219820,159369,35138,25313
"16",1839106,1230210,315494,292688,919196,615105,157747,146344,919910,592897,163674,163339,1450523,913178,266758,266952,723444,456589,133379,133476,727079,440276,138136,148667,14785,13812,2078,834,8362,6906,1039,417,6423,5480,612,331,18903,13108,3298,2244,9325,6554,1649,1122,9578,6468,1788,1322,26036,17144,3398,2246,11394,8572,1699,1123,14642,10012,2755,1875,239407,204656,27380,12594,122315,102328,13690,6297,117092,96958,13485,6649,89452,68312,12582,7818,44356,34156,6291,3909,45096,33703,6898,4495
"17",12812508,8272008,2445438,1848814,6283130,4136004,1222719,924407,6529378,4075292,1284508,1169578,7472751,4330438,1630386,1395472,3678148,2165219,815193,697736,3794603,2093239,837303,864061,1775612,1156958,311166,194704,831414,578479,155583,97352,944198,611229,185993,146976,16561,10846,3796,2180,8411,5423,1898,1090,8150,4886,1942,1322,747280,522990,115018,82824,360416,261495,57509,41412,386864,268230,66590,52044,2337410,1887222,327380,144226,1179414,943611,163690,72113,1157996,913402,159075,85519,462894,363554,57692,29408,225327,181777,28846,14704,237567,184306,33605,19656
"18",6785528,4412758,1276786,999776,3344660,2206379,638393,499888,3440868,2157607,664269,618992,5121004,3110286,1054978,886770,2526017,1555143,527489,443385,2594987,1509293,543039,542655,637500,451632,102114,58014,305880,225816,51057,29007,331620,232179,58140,41301,12938,8020,3210,1680,6455,4010,1605,840,6483,3805,1700,978,166651,132524,20540,10124,81594,66262,10270,5062,85057,66339,11996,6722,554191,478226,60158,25808,282096,239113,30079,12904,272095,227736,28861,15498,293244,232070,35786,17380,142618,116035,17893,8690,150626,118255,20533,11838
"19",3190369,2051926,599148,521110,1586092,1025963,299574,260555,1604277,985793,304586,313898,2638201,1583822,534284,493132,1305619,791911,267142,246566,1332582,762742,272825,297015,129321,110894,17268,7194,67678,55447,8634,3597,61643,50091,7320,4232,9079,6600,1566,802,4484,3300,783,401,4595,3173,937,485,75017,59798,9442,4304,36772,29899,4721,2152,38245,29929,5302,3014,215986,189640,23036,8560,110618,94820,11518,4280,105368,90037,10548,4783,122765,101172,13552,7118,60921,50586,6776,3559,61844,49821,7654,4369
"20",2937880,1945434,533662,445514,1462305,972717,266831,222757,1475575,932132,275810,267633,2122575,1286896,423840,390278,1050507,643448,211920,195139,1072068,618584,219568,233916,163352,123752,29866,16736,85177,61876,14933,8368,78175,53483,14231,10461,21921,15196,4114,2550,10930,7598,2057,1275,10991,7322,2249,1420,85225,62928,12130,6768,40913,31464,6065,3384,44312,32488,7236,4588,382603,327718,44080,18690,195244,163859,22040,9345,187359,155707,21157,10495,162204,128944,19632,10492,79534,64472,9816,5246,82670,64548,11369,6753
"21",4505836,2873374,870202,686266,2214921,1436687,435101,343133,2290915,1407729,459160,424026,3664764,2220590,747846,624264,1796350,1110295,373923,312132,1868414,1090910,394454,383050,357764,255532,63276,35196,177002,127766,31638,17598,180762,123153,33718,23891,8080,4894,2116,1218,4114,2447,1058,609,3966,2369,992,605,73843,55300,9530,4808,34819,27650,4765,2404,39024,29864,5717,3443,207854,187444,22940,8502,109443,93722,11470,4251,98411,83518,10090,4803,193531,149614,24494,12278,93193,74807,12247,6139,100338,77915,14189,8234
"22",4657757,2983066,863536,675970,2261286,1491533,431768,337985,2396471,1507260,464053,425158,2596702,1543870,538980,472258,1277554,771935,269490,236129,1319148,755921,277484,285743,1452420,966856,238676,155204,680368,483428,119338,77602,772052,521246,142041,108765,25994,17646,5064,3018,12864,8823,2532,1509,13130,8783,2631,1716,85336,59318,14554,8478,41175,29659,7277,4239,44161,30929,7874,5358,322549,266060,42926,22832,165909,133030,21463,11416,156640,122305,20271,14064,174756,129316,23336,14180,83416,64658,11668,7090,91340,68076,13752,9512
"23",1362359,767074,295502,272544,667560,383537,147751,136272,694799,376872,157170,160757,1228264,664988,275872,261862,601361,332494,137936,130931,626903,325915,146488,154500,25115,22708,3300,1388,13698,11354,1650,694,11417,9864,1051,502,7293,4740,1530,864,3567,2370,765,432,3726,2432,809,485,16668,10572,2250,1314,7068,5286,1125,657,9600,6795,1722,1083,26609,21816,3146,1838,13400,10908,1573,919,13209,10475,1690,1044,58410,42250,9404,5278,28466,21125,4702,2639,29944,21391,5410,3143
