"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+"
"37",59215,6816,18607,33791,30209,2507,9575,18127,29006,4309,9032,15664,44385,4454,13086,26845,22760,1640,6631,14489,21625,2814,6455,12356,11265,1396,4294,5575,5740,513,2338,2889,5525,883,1955,2687,503,75,181,247,257,27,93,137,246,48,88,110,673,186,213,274,276,58,85,133,397,128,128,141,1637,560,551,526,721,210,247,264,917,351,304,262,752,145,282,324,455,59,181,215,296,85,102,108
"38",3932,457,1180,2295,2072,179,631,1263,1860,278,549,1032,3668,385,1086,2197,1941,151,579,1211,1727,234,507,986,51,16,22,13,29,7,15,7,22,9,7,6,123,29,45,49,57,10,22,25,66,19,23,24,23,8,6,9,10,3,2,5,13,5,4,4,40,13,12,15,19,5,7,7,21,8,5,8,27,6,9,12,17,3,6,8,10,3,3,4
"39",69011,7678,22038,39295,35070,2852,11333,20885,33941,4827,10704,18410,59624,6254,18568,34802,30323,2311,9452,18560,29301,3943,9116,16242,6905,887,2632,3386,3480,346,1444,1690,3425,541,1188,1696,57,9,21,27,29,4,10,14,29,5,11,13,589,149,182,259,239,47,69,123,351,102,113,135,793,185,281,327,382,71,139,172,411,115,141,155,1043,194,354,494,617,73,219,326,424,121,135,169
"40",20658,2418,6405,11835,10586,906,3276,6404,10072,1513,3128,5431,16228,1585,4808,9836,8373,594,2463,5316,7856,991,2344,4520,1274,167,497,610,663,64,273,326,611,103,224,284,1978,352,698,929,982,132,347,503,997,219,352,426,247,63,83,101,101,16,36,49,146,47,47,52,697,209,240,248,323,81,110,132,374,128,130,116,234,42,79,111,144,19,47,78,88,25,31,33
"41",22328,2538,6423,13367,11127,928,3131,7068,11201,1610,3292,6299,19859,1981,5594,12284,9934,732,2723,6479,9924,1249,2871,5805,334,52,132,150,198,23,86,89,135,29,46,61,279,38,97,144,130,14,44,72,149,24,53,72,614,143,188,283,254,42,77,136,360,101,111,148,993,294,335,364,438,105,147,186,555,189,188,178,249,30,77,142,173,12,54,106,78,18,23,35
"42",79630,8401,24414,46816,40033,3059,12459,24515,39597,5342,11955,22300,68077,6528,20170,41379,34325,2401,10236,21688,33752,4127,9935,19691,6817,847,2599,3371,3280,305,1353,1621,3537,542,1246,1749,71,12,25,34,37,4,12,21,34,8,13,13,1133,266,358,509,497,78,152,267,636,188,206,242,2261,556,804,900,1065,190,394,481,1196,367,410,419,1271,192,458,623,829,81,312,437,442,110,145,186
"44",6329,666,2000,3663,3121,232,993,1896,3208,433,1008,1767,5487,486,1681,3320,2721,171,834,1716,2766,314,849,1603,236,37,101,99,121,13,56,52,115,24,45,46,18,3,6,9,7,1,2,4,10,2,4,4,82,18,28,36,33,5,10,18,49,13,18,18,421,105,155,161,188,34,74,80,233,71,82,80,85,17,29,38,51,8,17,26,35,9,10,16
"45",28303,3026,8852,16425,14617,1117,4600,8901,13686,1910,4251,7525,20930,2022,6126,12783,10880,766,3144,6970,10050,1255,2982,5813,6385,767,2416,3202,3264,266,1311,1687,3120,501,1104,1515,50,8,19,23,24,2,9,13,26,6,10,10,202,47,62,93,76,13,22,41,126,34,40,52,497,146,158,193,237,57,74,106,260,89,84,87,239,36,71,131,136,13,40,84,104,25,31,48
"46",4904,523,1418,2963,2588,188,759,1641,2316,335,658,1322,4526,441,1280,2804,2404,157,685,1563,2121,284,596,1242,31,8,14,9,22,5,11,6,9,3,3,3,266,50,96,120,124,17,50,57,142,34,45,63,26,7,11,9,9,1,5,4,17,6,6,5,45,15,13,17,24,7,7,10,22,7,7,8,10,2,4,4,5,1,1,1,5,1,1,1
"47",38378,4333,12403,21642,20069,1688,6490,11890,18309,2645,5913,9752,31918,3307,9897,18715,16711,1297,5111,10303,15208,2010,4786,8412,5016,662,2030,2325,2601,248,1120,1233,2416,414,910,1092,40,8,11,21,20,3,5,11,20,5,6,10,285,81,94,110,123,26,43,54,163,55,51,56,575,197,186,192,280,81,96,103,295,116,90,88,544,78,185,279,334,33,115,186,207,45,70,94
"48",120668,17901,38092,64675,61877,6724,19691,35462,58791,11178,18400,29213,73472,7952,21773,43747,38824,3068,11460,24296,34647,4885,10312,19451,14333,2205,5568,6560,7325,803,3043,3479,7008,1402,2525,3081,438,89,151,198,203,29,72,102,234,60,79,96,3540,880,1135,1526,1608,286,500,822,1933,594,635,704,28204,6613,9216,12375,13457,2454,4446,6557,14746,4158,4770,5818,681,162,249,269,460,84,170,206,223,79,79,63
"49",11449,2130,3283,6036,5998,799,1683,3516,5451,1331,1599,2520,9951,1704,2807,5440,5302,652,1463,3187,4649,1053,1343,2254,90,19,37,34,58,9,25,24,32,10,12,10,75,21,24,30,36,8,12,16,39,13,12,14,266,77,85,104,111,22,35,54,155,55,50,50,943,292,293,357,410,101,124,184,533,192,168,173,124,17,37,71,81,7,24,51,43,8,14,19
"50",3937,403,1204,2329,2005,154,595,1256,1931,250,608,1073,3828,379,1168,2281,1951,145,576,1230,1877,234,592,1051,21,4,9,8,13,2,6,5,8,2,3,3,8,1,4,3,5,1,2,2,3,0,2,1,21,7,6,8,8,2,3,3,13,5,3,4,21,6,6,9,9,2,3,4,12,4,3,5,38,6,11,20,19,2,5,12,18,5,5,9
"51",41480,5084,13382,23014,20736,1794,6816,12126,20743,3290,6565,10888,30264,3209,9195,17860,15247,1152,4630,9465,15017,2057,4565,8395,7610,957,2959,3694,3842,352,1600,1890,3768,605,1359,1804,86,18,29,39,40,7,13,20,46,11,16,19,1364,309,440,615,577,81,178,318,787,228,263,297,1262,407,429,427,532,132,201,199,731,276,227,228,894,184,330,379,498,70,194,234,394,113,135,145
"53",38313,4733,11437,22143,19201,1727,5636,11838,19113,3005,5803,10305,31855,3282,9193,19380,16125,1226,4547,10352,15730,2056,4646,9028,1150,190,467,493,655,79,284,292,495,110,184,201,560,93,207,260,256,31,93,132,305,61,115,128,2269,521,722,1027,948,155,284,509,1321,366,438,518,1676,495,571,611,745,177,259,309,931,318,311,302,803,152,277,372,472,59,169,244,331,94,109,128
"54",12174,1302,3818,7053,6237,486,1943,3808,5937,816,1876,3245,11690,1233,3646,6810,5968,456,1846,3666,5722,777,1800,3145,317,40,118,159,182,19,69,94,135,21,49,65,8,1,3,4,4,0,2,2,3,1,1,1,36,7,11,17,14,2,4,8,21,5,7,9,50,9,17,24,25,4,9,13,25,5,9,11,73,12,23,39,44,5,13,25,31,7,10,14
"55",34387,3625,10630,20132,17937,1380,5545,11012,16450,2245,5085,9120,31228,2982,9430,18816,16344,1133,4901,10310,14884,1849,4529,8506,1686,265,695,726,882,104,390,388,804,161,306,338,301,42,127,133,141,26,78,104,161,54,79,70,305,90,93,122,125,27,43,55,179,62,50,67,642,199,209,234,328,83,100,145,314,116,109,89,456,94,161,201,263,39,95,129,193,55,66,72
"56",2891,336,888,1666,1545,127,459,959,1346,209,430,707,2678,287,825,1566,1436,107,427,903,1242,180,398,663,14,4,5,5,9,2,3,4,5,2,2,1,47,11,15,21,23,5,7,11,24,6,8,10,12,1,4,7,5,0,1,4,7,1,3,3,131,31,36,64,66,12,18,36,65,19,18,28,9,2,3,3,6,1,3,1,3,1,1,2
"72",14350,1865,4151,8335,7504,614,2111,4779,6846,1251,2039,3555,224,26,87,111,137,10,52,75,87,16,35,36,35,3,15,17,23,1,10,12,12,2,5,5,1,0,0,1,1,0,0,1,0,0,0,0,15,3,5,7,8,1,3,4,7,2,2,3,14060,1831,4039,8190,7325,601,2043,4681,6735,1230,1996,3509,14,2,4,8,10,1,3,6,4,1,1,2
