"FIPS","AllRace_Total","AllRace_50-","AllRace_50-65","AllRace_65+","AllRace_Male","AllRace_Male_50-","AllRace_Male_50-65","AllRace_Male_65+","AllRace_Female","AllRace_Female_50-","AllRace_Female_50-65","AllRace_Female_65+","W_Total","W_50-","W_50-65","W_65+","W_Male","W_Male_50-","W_Male_50-65","W_Male_65+","W_Female","W_Female_50-","W_Female_50-65","W_Female_65+","B_Total","B_50-","B_50-65","B_65+","B_Male","B_Male_50-","B_Male_50-65","B_Male_65+","B_Female","B_Female_50-","B_Female_50-65","B_Female_65+","I_Total","I_50-","I_50-65","I_65+","I_Male","I_Male_50-","I_Male_50-65","I_Male_65+","I_Female","I_Female_50-","I_Female_50-65","I_Female_65+","A_Total","A_50-","A_50-65","A_65+","A_Male","A_Male_50-","A_Male_50-65","A_Male_65+","A_Female","A_Female_50-","A_Female_50-65","A_Female_65+","H_Total","H_50-","H_50-65","H_65+","H_Male","H_Male_50-","H_Male_50-65","H_Male_65+","H_Female","H_Female_50-","H_Female_50-65","H_Female_65+","O_Total","O_50-","O_50-65","O_65+","O_Male","O_Male_50-","O_Male_50-65","O_Male_65+","O_Female","O_Female_50-","O_Female_50-65","O_Female_65+","state"
"13077",757,102,256,399,383,36,134,213,374,65,123,186,596,75,194,327,303,28,99,176,293,47,95,151,121,16,47,58,62,6,26,30,59,10,21,28,2,0,1,1,2,0,1,1,0,0,0,0,8,3,3,2,4,0,1,1,5,2,2,1,30,7,12,11,12,2,6,5,17,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13079",86,6,30,49,47,2,16,28,39,4,14,21,66,5,22,39,36,3,11,21,30,2,11,17,19,1,8,10,10,0,4,6,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13081",117,11,35,72,62,4,19,39,55,7,15,33,69,5,18,46,35,3,8,24,34,2,10,22,47,5,16,25,26,1,10,15,20,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13083",91,9,26,56,48,4,13,31,42,5,13,25,87,8,25,54,47,4,13,31,40,4,12,23,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13085",168,15,49,104,91,6,23,62,77,9,26,42,165,14,48,103,89,5,23,61,76,9,26,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13087",153,16,51,86,86,6,32,48,68,11,19,38,95,6,29,60,53,2,18,34,42,4,11,26,52,7,20,25,30,3,13,14,22,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,5,2,2,1,3,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13089",3438,532,1148,1758,1708,200,586,923,1729,332,562,836,1334,187,365,782,672,73,186,413,662,114,179,369,1852,265,708,879,919,97,368,454,933,168,340,425,3,1,0,2,2,0,0,2,1,1,0,0,108,29,29,49,47,8,11,27,61,21,18,22,130,49,39,42,61,21,17,23,69,28,22,19,11,2,3,6,6,0,2,4,5,2,1,2,"13"
"13091",117,11,36,70,64,5,20,39,53,6,16,31,91,9,24,58,48,4,11,33,43,5,13,25,25,2,12,11,16,1,9,6,9,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13093",69,7,23,40,38,2,15,22,31,5,8,18,42,5,12,25,23,2,8,13,19,3,4,12,26,4,7,14,14,1,4,9,11,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"13"
"13095",507,50,172,285,270,18,93,158,237,32,78,127,204,13,54,137,106,5,27,74,98,8,27,63,295,35,115,145,160,12,65,83,136,23,50,62,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,0,0,1,3,1,2,0,3,0,2,1,1,0,1,0,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,"13"
