"DemandID","Demand","SupplyID","Supply","TravelCost","AllFlows","EstFlow","f(d)"
"1",19172,"1",112,0.772843380539856,3633,3774,1.67423731387726
"1",19172,"13",102,30.8681885890883,7,86,0.001049488563111076
"1",19172,"16",1018,26.0753875799254,395,1017,0.0014707486389288456
"1",19172,"62",368,119.88554374953,1,80,0.00006957710672660263
"1",19172,"64",349,110.510293196954,1,82,0.00008188314930644582
"1",19172,"131",346,25.7455527014163,46,350,0.0015086745378436264
"1",19172,"132",294,33.409605303624,38,229,0.0008958954069084637
"1",19172,"175",100,71.4512199657047,1,36,0.0001958757639198612
"1",19172,"204",204,122.354481062392,1,43,0.00006679750500567141
"1",19172,"209",320,99.4882580461467,2,84,0.00010103139425330493
"1",19172,"213",1013,93.2965059202181,1,283,0.00011488656422926709
"1",19172,"225",628,41.85679691297,15,391,0.0005707790418972448
"1",19172,"226",126,33.7564406157271,22,97,0.0008775799774822652
"1",19172,"235",220,52.4546430988469,4,109,0.0003634395006654118
"1",19172,"292",389,70.1333318608327,2,144,0.00020330640301963112
"1",19172,"297",157,30.1936164589897,1,135,0.0010969068079583013
"1",19172,"298",139,27.7981131022494,20,130,0.0012941045518533132
"1",19172,"300",155,31.0514761268126,5,130,0.0010371354976688927
"1",19172,"301",231,33.9695165138642,71,177,0.000866605156274674
"1",19172,"302",320,33.6143251142624,102,248,0.0008850161738376338
"1",19172,"303",942,31.183458541204,177,787,0.0010283748292338126
"1",19172,"304",200,37.1671775609921,9,140,0.0007239037645165844
"1",19172,"326",654,35.0905203238428,9,485,0.0008121203329390545
"1",19172,"330",507,34.6815339144579,14,381,0.0008313873364030062
"1",19172,"332",307,39.3564735700125,3,203,0.0006456061288251845
"1",19172,"335",219,42.7469555547004,5,133,0.0005472548519686684
"1",19172,"338",91,73.8697304919624,1,32,0.00018325969985266924
"1",19172,"341",110,34.9858052981065,1,82,0.0008169890771653508
"1",19172,"347",524,58.6798173504753,6,233,0.00029041730653889215
"1",19172,"359",313,54.9200351677671,11,148,0.0003315418730319222
"1",19172,"363",300,57.6369288470079,1,136,0.000301022069238877
"1",19172,"368",120,44.4017333696213,3,70,0.0005072244160655172
"1",19172,"374",788,46.2639447311033,7,444,0.00046721274259527303
"1",19172,"439",60,247.95009592817,1,6,0.000016265650586950382
"1",19172,"479",359,22.6473042861665,593,413,0.0019496963088733142
"1",19172,"503",147,34.0603084083769,5,112,0.0008619912310881564
"1",19172,"519",150,65.1130689243901,2,60,0.00023586509182721196
"1",19172,"522",100,52.8510487177604,2,49,0.00035800804103717127
"1",19172,"523",296,60.2706056148962,1,128,0.00027528901965700987
"1",19172,"534",214,219.332568012684,7,25,0.000020787092709301996
