"DemandID","Demand","f(d)","D_f(d)","T_ij","Supply","Coeff.","Std. Err.","t-value","P>|t|","R^2"
"1",19172,0.0042554799312034255,81.58606124103207,57.068474277929774,56751,0.22727001541264752,0.0021594210077562656,105.24581107451166,0,0.9813070545936812
"10",8026,0.00000772313116853112,0.06198585075863081,0.0954233976324926,56751,0.08589242405092568,0.0055597752885317405,15.448902085682796,0,0.5307655205979557
"100",854,0.000007181760317271604,0.0061332233109499595,0.008177066304631662,56751,0.063771766956517,0.001603247296062864,39.77662529861924,0,0.882331941357714
"101",1648,0.0002602830415231449,0.4289464524301433,1.0224979481906358,56751,0.003791576338608905,0.00033165345858315496,11.432343732541685,0,0.38249652731183825
"102",8251,0.0015626287383305247,12.893249719965159,26.8355432395219,56751,0.06924198499101064,0.002532814801404343,27.337958129674057,0,0.779833121889383
"103",15958,0.0011855006605808098,18.918219541548556,39.06062722937517,56751,0.15833238136660077,0.0003838858523272008,412.44651347986627,0,0.9987611782125038
"104",20699,0.0021971861692842392,45.47955651801445,97.79342874764967,56751,0.1535450471974091,0.0004260982653633207,360.3512609150991,0,0.9983777221266837
"105",28382,0.005193827914835826,147.41122387887032,302.03965464863956,56751,0.1819349288178523,0.0006677932685800342,272.44199272135614,0,0.9971653363670077
"106",561,0.0000006147534874066572,0.00034487670643513455,0.00041937130455228945,56751,0.08726634997132773,0.005696799366021882,15.318487516309792,0,0.526540713704902
"107",273,0.000021030284295193964,0.005741267612587945,0.006981302812683593,56751,0.17193028912025685,0.007204785004317055,23.86334762484064,0,0.7296463969158256
"108",232,0.00000000000016135675876675424,0.00000000003743476803388698,0.000000000045114936899195376,56751,0.019837236732564795,0.03149720004314985,0.6298095292720817,0.5295006077780635,0.001876378004652346
"109",27304,0.0000013090614170838755,0.035742612932058146,0.03996105315587267,56751,0.009043671306523832,0.0017717577746433092,5.104349723169414,0.000000739460435328354,0.10990889696435235
"11",13665,0.0011464148490654572,15.665758912479477,10.983478462055501,56751,0.05090620944473769,0.0034659405369910187,14.687559957082323,0,0.5055356774761609
"110",16407,0.00008123984351985508,1.3329021126302634,1.6207908365165935,56751,0.06937189747720812,0.003952413967932209,17.55177925188376,0,0.5934998153788644
"111",3778,0.0018771165890715531,7.091746473512331,6.27114156816629,56751,0.06867268647273946,0.006280561146982563,10.934164140051818,0,0.3616814251574886
"112",291,0.0000337488607449923,0.009820918476792766,0.012824444888437068,56751,0.005819276296397932,0.005423990590151151,1.0728772846627976,0.28455167972118445,0.005425688833196496
"113",397,0.000022070641786658564,0.008762044789303446,0.059864989087162396,56751,0.01776877750859376,0.0043360324635133935,4.097934611448021,0.00005944432380178277,0.07372071600451513
"114",10510,0.0000615529552415984,0.6469215595891992,1.3203070902547707,56751,0.004925019539002646,0.004238598598945934,1.1619452571487692,0.24657034310360615,0.00635797522073378
"115",14291,0.0017294553115232269,24.715645856978437,53.171422060280776,56751,0.004045593686659037,0.003853197834261993,1.0499314752765332,0.2949506669959716,0.005197283627730975
"116",10936,0.00017320855287300898,1.8942087342192264,1.9230774023061397,56751,0.08106768152611182,0.005131251635365625,15.79881231459727,0,0.5419043242490884
"117",437,0.000000000994448654543755,0.00000043457406203562115,0.0000007054712411775926,56751,0.007955301600275647,0.006996538015384543,1.1370339992125962,0.2568136824600482,0.006089919362831209
"118",12844,0.0020786765697006805,26.69852186123551,29.73321884528242,56751,0.05666095132386219,0.0058036445696513774,9.762994725789314,0,0.3111690067568206
"119",14014,0.000022548794252648858,0.3159988026566211,0.1754084877335419,56751,0.02131752613536286,0.0041152624561109465,5.180113385892913,0.0000005167520773508016,0.11282500683767194
"12",11515,0.012040967826204566,138.6517445187457,122.81295372693315,56751,0.13619516413983598,0.0038030896910625053,35.81171500106952,0,0.8587191318368215
"120",308,0.00011294255102224915,0.03478630571485279,0.054765449800646716,56751,0.09416030615352051,0.016366104568817295,5.753373122943761,0.0000000304894203217998,0.13560477548061878
"121",510,0.0003334654003828553,0.17006735419525626,0.3150185499558368,56751,0.05037102964108223,0.008445121501677668,5.96451213059229,0.000000010219483037587906,0.1442779946456274
"122",22799,0.0006335159503189505,14.443530151321747,34.10787275017563,56751,0.08548516950857764,0.002378336272370358,35.94326441625483,0,0.8596064695922507
"123",19730,0.0011770207562184411,23.22261952018984,22.077339233998323,56751,0.039639561161033836,0.006035648350566929,6.5675730027098895,0.000000000391563004242812,0.16972613779109602
"124",10880,0.0011090400241685404,12.066355462953737,10.026313763347115,56751,0.033281193924020264,0.00396050665143944,8.403266766872937,0.000000000000006439293542825908,0.25074985120515836
"125",10798,0.0007297884900798443,7.880256115882173,9.174978513920308,56751,0.06438465001715762,0.006906041617745744,9.32294555707788,0,0.2917497903495905
"126",11982,0.0006459270405213544,7.739497799526874,6.513972281805888,56751,0.023545075881520813,0.0032494412384731926,7.245884493231792,0.000000000007955858194463872,0.19924962354475195
"127",19816,0.0016828452994582007,33.347262454063674,27.515072959420298,56751,0.010759912059447395,0.002531072585560638,4.25112741563832,0.00003193674263335389,0.07889256501464004
"128",34820,0.002566670560192349,89.37146890589761,91.86823772158553,56751,0.10750603010725085,0.002649063927481612,40.582648456299694,0,0.8864340557950885
"129",29656,0.0054731074439096404,162.31047435658436,148.54147803107332,56751,0.1588024071920467,0.0015344871146463933,103.48891540131379,0,0.9806793464311284
"13",19100,0.010795372429748736,206.19161340820094,169.96567297449988,56751,0.18788608476190674,0.004717874906384692,39.824304054276816,0,0.8825804603346276
