"GbCode","CityName","lat","lon","GbProv","UA_Full","UA"
"532900","Dali",25.6121284181925,100.27458284048366,"53","NA","NA"
"533100","Dehong",24.438010702758117,98.59135935611411,"53","NA","NA"
"533300","Nujiang",25.823707417657754,98.8632883813579,"53","NA","NA"
"533400","Diqing",27.82518468364326,99.70952999013957,"53","NA","NA"
"540100","Lasa",29.65948787983075,91.17845425628477,"54","NA","NA"
"540200","Shigatse",29.275657822511512,88.89370303482552,"54","NA","NA"
"540300","Changdu",31.148661810810207,97.17733324895293,"54","NA","NA"
"540400","Nyingchi",29.580681735080486,94.49058455356712,"54","NA","NA"
"540500","Shannan",29.243026939249226,91.77867513851903,"54","NA","NA"
"540600","Nagqu",31.475741799723668,92.05175813451636,"54","NA","NA"
"542500","Ngari",32.50686601763335,80.11277692192645,"54","NA","NA"
"610100","Xi'an",34.34726881662395,108.94646555063274,"61","Guanzhong Plains","GP"
"610200","Tongchuan",34.902637080502906,108.95240424835922,"61","Guanzhong Plains","GP"
"610300","Baoji",34.36891564286998,107.2445753670404,"61","Guanzhong Plains","GP"
"610400","Xianyang",34.335476293368586,108.71542245143303,"61","Guanzhong Plains","GP"
"610500","Weinan",34.50571551675255,109.51658960525897,"61","Guanzhong Plains","GP"
"610600","Yan'an",36.656089661066176,109.50118366576285,"61","NA","NA"
"610700","Hanzhong",33.073799907833795,107.02943020926463,"61","NA","NA"
"610800","Yulin",38.290883835484046,109.74161603381395,"61","Huhehot-Baotou-Ordos-Yulin","HBOY"
"610900","Ankang",32.69051277057377,109.03560108265746,"61","NA","NA"
"611000","Shangluo",33.87863385220776,109.92441788136406,"61","Guanzhong Plains","GP"
"620100","Lanzhou",36.067234693545565,103.84052119633628,"62","Lanzhou-Xining","LX"
"620200","Jiayuguan",39.77796014739059,98.29620384300111,"62","NA","NA"
"620300","Jinchang",38.52582009209263,102.19460568669837,"62","NA","NA"
"620400","Baiyin",36.55082533041454,104.1444508283435,"62","Lanzhou-Xining","LX"
"620500","Tianshui",34.58741188165064,105.73141674566955,"62","Guanzhong Plains","GP"
"620600","Wuwei",37.93437780815811,102.64455434036918,"62","NA","NA"
"620700","Zhangye",38.932066007004934,100.45641147405634,"62","NA","NA"
"620800","Pingliang",35.549232050463516,106.67144234827796,"62","Guanzhong Plains","GP"
"620900","Jiuquan",39.73846908071564,98.50068521606795,"62","NA","NA"
"621000","Qingyang",35.71521598356201,107.6493856959542,"62","Guanzhong Plains","GP"
"621100","Dingxi",35.586832926561875,104.63242008306302,"62","Lanzhou-Xining","LX"
"621200","Longnan",33.37603215910919,104.9668643447692,"62","NA","NA"
"622900","Linxia",35.60756218350311,103.21639056529743,"62","Lanzhou-Xining","LX"
"623000","Gannan",34.98913990996821,102.91758468825803,"62","NA","NA"
"630100","Xining",36.62338469651661,101.78445017050855,"63","Lanzhou-Xining","LX"
"630200","Haidong",36.48017021268231,102.41503557578936,"63","Lanzhou-Xining","LX"
"632200","Haibei",36.96066282412982,100.90743432145598,"63","Lanzhou-Xining","LX"
"632300","Huangnan",35.525804586515534,102.02242827807585,"63","Lanzhou-Xining","LX"
"632500","Hainan",36.2921024798988,100.62662114445924,"63","Lanzhou-Xining","LX"
"632600","Golog",34.4771938664709,100.25159197879555,"63","NA","NA"
"632700","Yushu",33.01097958514274,97.01318076277326,"63","NA","NA"
"632800","Haixi",37.38275046252745,97.37629911601906,"63","NA","NA"
"640100","Yinchuan",38.492460055509596,106.23849358740017,"64","Yan-Huang","YH"
"640200","Shizuishan",38.98968283991508,106.3906004255049,"64","Yan-Huang","YH"
"640300","Wuzhong",38.00371291345338,106.20537126663626,"64","Yan-Huang","YH"
"640400","Guyuan",36.02161725801098,106.24857742607188,"64","NA","NA"
"640500","Zhongwei",37.50570141870293,105.20357090088713,"64","Yan-Huang","YH"
"650100","Urumqi",43.830763204290484,87.62443993536046,"65","North Tianshan Slope","NTS"
"650200","Karamay",45.58567523781376,84.89590053887504,"65","North Tianshan Slope","NTS"
"650400","Turpan",42.95698484877124,89.1972972460079,"65","NA","NA"
"650500","Hami",42.82582436811265,93.52121554028504,"65","NA","NA"
"652300","Changji",44.01685415991987,87.3150016244744,"65","North Tianshan Slope","NTS"
"652700","Bortala",44.9121964134647,82.07291475827434,"65","NA","NA"
"652800","Bayingol",41.7702873304504,86.1517138653326,"65","NA","NA"
"652900","Aksu",41.17502986007749,80.26694348473501,"65","NA","NA"
"653000","KizilsuKirghiz",39.72047120487073,76.17430867621205,"65","NA","NA"
"653100","Kashi",39.47609674864479,75.99639055639747,"65","NA","NA"
"653200","Hotan",37.12044646304192,79.9285070635119,"65","NA","NA"
"654000","Ili",43.92272313749215,81.3305377475322,"65","NA","NA"
"654200","Tacheng",46.750948254373434,82.9872355184064,"65","North Tianshan Slope","NTS"
"654300","Altay",47.85072787010195,88.14792620373527,"65","NA","NA"
"659001","Shihezi",44.31197647806301,86.08688567193293,"65","North Tianshan Slope","NTS"
"659002","Aral",40.55326389470602,81.28735422539545,"65","NA","NA"
"659003","Tumushuke",39.87120907742499,79.07561628689639,"65","NA","NA"
"659004","Wujiaqu",44.17244451890095,87.54993663229611,"65","North Tianshan Slope","NTS"
"659005","Beitun",47.3259,87.8249,"65","NA","NA"
"659006","Tiemenguan",41.86364869769258,85.6868578317237,"65","NA","NA"
"659007","Shuanghe",44.85295884149881,82.37838192999241,"65","NA","NA"
"659008","Kokdala",43.93731690864564,81.02734930740128,"65","NA","NA"
"659009","Kunyu",37.22530195987717,79.28381996850493,"65","NA","NA"
"710000","Taiwan",25.040941981936413,121.57463095526552,"71","NA","NA"
"810000","HongKong",22.2465,114.2096,"81","Great Bay of Guangdong-Macau-Hongkong","GB"
"820000","Macao",22.192919580748228,113.5494636369974,"82","Great Bay of Guangdong-Macau-Hongkong","GB"
